Unique image URLs: 86
  inspected 10/86
  inspected 20/86
  inspected 30/86
  inspected 40/86
  inspected 50/86
  inspected 60/86
  inspected 70/86
  inspected 80/86
  inspected 86/86

=== SUSPICIOUS: 19/86 ===
  https://cdn.sanity.io/images/2tdmkpky/production/c2b85c46642ee9e6bc89c94cf03cf5177a80d917-1078x1114.png?w=2048&q=75&auto | status=200 | bytes=2173028 | 2048x2116 | meanLum=30 | bandCount=19 | rowVar=641
  https://cdn.sanity.io/images/2tdmkpky/production/4bbaf883213275b7573ed0be94366c4fe4ac6e73-480x960.png?w=2048&q=75&auto=f | status=200 | bytes=3066639 | 2048x4096 | meanLum=30 | bandCount=19 | rowVar=537
  https://cdn.sanity.io/images/2tdmkpky/production/6cccd274c550ab95f850ad58c530ff0e0cd7bfda-480x480.png?w=2048&q=75&auto=f | status=200 | bytes=1235104 | 2048x2048 | meanLum=28 | bandCount=13 | rowVar=1118
  https://cdn.sanity.io/images/2tdmkpky/production/08209032f42f82bb56086e963b1f69fe41d667e3-1212x1212.png?w=2048&q=75&auto | status=200 | bytes=1809522 | 2048x2048 | meanLum=32 | bandCount=14 | rowVar=2402
  https://cdn.sanity.io/images/2tdmkpky/production/39bcc2500e4163889f6965009b2492fb87183718-480x310.png?w=2048&q=75&auto=f | status=200 | bytes=1782650 | 2048x1323 | meanLum=80 | bandCount=17 | rowVar=2240
  https://cdn.sanity.io/images/2tdmkpky/production/1c292b64bf3907e1035d6e31543d78046735ba17-1000x667.png?w=2048&q=75&auto= | status=200 | bytes=658277 | 2048x1366 | meanLum=75 | bandCount=15 | rowVar=5334
  https://cdn.sanity.io/images/2tdmkpky/production/817f418c33111959d9f6ec3752ecbf7d65d152c2-800x800.png?w=2048&q=75&auto=f | status=200 | bytes=1949422 | 2048x2048 | meanLum=39 | bandCount=13 | rowVar=435
  https://cdn.sanity.io/images/2tdmkpky/production/879f6512b0923c13fa7bbffb8e571fbb9486fd13-480x434.png?w=2048&q=75&auto=f | status=200 | bytes=405813 | 2048x1852 | meanLum=28 | bandCount=14 | rowVar=2112
  https://cdn.sanity.io/images/2tdmkpky/production/f7c52bf085f58f8ed652225c4af7ef6f6206ca8e-1600x851.png?w=2048&q=75&auto= | status=200 | bytes=347047 | 2048x1089 | meanLum=26 | bandCount=12 | rowVar=2130
  https://cdn.sanity.io/images/2tdmkpky/production/12ee20b2199e8f0367d8af180be2e69d943e8dc1-480x480.png?w=2048&q=75&auto=f | status=200 | bytes=1110848 | 2048x2048 | meanLum=53 | bandCount=12 | rowVar=3810
  https://cdn.sanity.io/images/2tdmkpky/production/8d54d14ce72d01408388b4d33c4686f2d7ad7cac-480x432.png?w=2048&q=75&auto=f | status=200 | bytes=566508 | 2048x1843 | meanLum=53 | bandCount=17 | rowVar=6528
  https://cdn.sanity.io/images/2tdmkpky/production/1941f2409d17d4f2a7d65d909a1fd39b19671b51-1220x1220.png?w=2048&q=75&auto | status=200 | bytes=812691 | 2048x2048 | meanLum=57 | bandCount=16 | rowVar=3810
  https://cdn.sanity.io/images/2tdmkpky/production/81568498e59b0a72af1de4c40bae4980a2af8a02-480x480.png?w=2048&q=75&auto=f | status=200 | bytes=994325 | 2048x2048 | meanLum=48 | bandCount=13 | rowVar=3675
  https://cdn.sanity.io/images/2tdmkpky/production/cf9e17239bf6334c0c09d4aa6c22782b71e6978e-480x480.png?w=2048&q=75&auto=f | status=200 | bytes=1466883 | 2048x2048 | meanLum=59 | bandCount=12 | rowVar=4505
  https://cdn.sanity.io/images/2tdmkpky/production/362a1d3501364522f2edfccb792452204bdd337f-1024x1024.png?w=2048&q=75&auto | status=200 | bytes=675216 | 2048x2048 | meanLum=54 | bandCount=12 | rowVar=6059
  https://cdn.sanity.io/images/2tdmkpky/production/46e23435838d6633c33200f28e4fb96ec5134598-1024x1024.png?w=2048&q=75&auto | status=200 | bytes=1636987 | 2048x2048 | meanLum=37 | bandCount=16 | rowVar=1661
  https://cdn.sanity.io/images/2tdmkpky/production/6860a2f07f39256ad483406f42d6787ddc876b22-1024x1024.png?w=2048&q=75&auto | status=200 | bytes=2171440 | 2048x2048 | meanLum=58 | bandCount=12 | rowVar=3332
  https://cdn.sanity.io/images/2tdmkpky/production/026f58a1571be552a7a0f9be89eeae928cf5b09f-1024x1024.png?w=2048&q=75&auto | status=200 | bytes=2165062 | 2048x2048 | meanLum=58 | bandCount=12 | rowVar=3340
  https://cdn.sanity.io/images/2tdmkpky/production/e178e50e57c1d3186ccdd4e9583d30fb485df204-1024x1024.png?w=2048&q=75&auto | status=200 | bytes=989960 | 2048x2048 | meanLum=56 | bandCount=13 | rowVar=5850

Detail saved to .logs/audio-electronics-image-file-analysis.json
