_id,name,slug,brand,facet,value,source_url,source_phrase
0IQ2UjkdXJma4iOcjobwvF,"Ear Pads for Audeze LCD Series Headphones - Fits variants of LCD-2, LCD-3, LCD-4, LCD-X",ear-pads-for-audeze-lcd-series-headphones-fits-variants-of-lcd-2-lcd-3-lcd-4-lcd-x,Dekoni Audio,Price,1749,https://sanglogium.com/products/ear-pads-for-audeze-lcd-series-headphones-fits-variants-of-lcd-2-lcd-3-lcd-4-lcd-x,1749
0IQ2UjkdXJma4iOcjobwvF,"Ear Pads for Audeze LCD Series Headphones - Fits variants of LCD-2, LCD-3, LCD-4, LCD-X",ear-pads-for-audeze-lcd-series-headphones-fits-variants-of-lcd-2-lcd-3-lcd-4-lcd-x,Dekoni Audio,Brand,dekoni-audio,https://sanglogium.com/products/ear-pads-for-audeze-lcd-series-headphones-fits-variants-of-lcd-2-lcd-3-lcd-4-lcd-x,dekoni-audio
0IQ2UjkdXJma4iOcjobwvF,"Ear Pads for Audeze LCD Series Headphones - Fits variants of LCD-2, LCD-3, LCD-4, LCD-X",ear-pads-for-audeze-lcd-series-headphones-fits-variants-of-lcd-2-lcd-3-lcd-4-lcd-x,Dekoni Audio,Availability,true,https://sanglogium.com/products/ear-pads-for-audeze-lcd-series-headphones-fits-variants-of-lcd-2-lcd-3-lcd-4-lcd-x,true
0IQ2UjkdXJma4iOcjobwvF,"Ear Pads for Audeze LCD Series Headphones - Fits variants of LCD-2, LCD-3, LCD-4, LCD-X",ear-pads-for-audeze-lcd-series-headphones-fits-variants-of-lcd-2-lcd-3-lcd-4-lcd-x,Dekoni Audio,Category,accessories,https://sanglogium.com/products/ear-pads-for-audeze-lcd-series-headphones-fits-variants-of-lcd-2-lcd-3-lcd-4-lcd-x,accessories
0IQ2UjkdXJma4iOcjocCJs,"Replacement Earpads for Focal Headphones - Stellia, Radiante, Utopia, Clear, ClearMG, Celestee",replacement-earpads-for-focal-headphones-stellia-radiante-utopia-clear-clearmg-celestee,Dekoni Audio,Price,6299,https://sanglogium.com/products/replacement-earpads-for-focal-headphones-stellia-radiante-utopia-clear-clearmg-celestee,6299
0IQ2UjkdXJma4iOcjocCJs,"Replacement Earpads for Focal Headphones - Stellia, Radiante, Utopia, Clear, ClearMG, Celestee",replacement-earpads-for-focal-headphones-stellia-radiante-utopia-clear-clearmg-celestee,Dekoni Audio,Brand,dekoni-audio,https://sanglogium.com/products/replacement-earpads-for-focal-headphones-stellia-radiante-utopia-clear-clearmg-celestee,dekoni-audio
0IQ2UjkdXJma4iOcjocCJs,"Replacement Earpads for Focal Headphones - Stellia, Radiante, Utopia, Clear, ClearMG, Celestee",replacement-earpads-for-focal-headphones-stellia-radiante-utopia-clear-clearmg-celestee,Dekoni Audio,Availability,true,https://sanglogium.com/products/replacement-earpads-for-focal-headphones-stellia-radiante-utopia-clear-clearmg-celestee,true
0IQ2UjkdXJma4iOcjocCJs,"Replacement Earpads for Focal Headphones - Stellia, Radiante, Utopia, Clear, ClearMG, Celestee",replacement-earpads-for-focal-headphones-stellia-radiante-utopia-clear-clearmg-celestee,Dekoni Audio,Category,accessories,https://sanglogium.com/products/replacement-earpads-for-focal-headphones-stellia-radiante-utopia-clear-clearmg-celestee,accessories
0IQ2UjkdXJma4iOcjodDq5,Memory Foam Isolation Earphone Tips Black 4.9mm Mercury,memory-foam-isolation-earphone-tips-black-4-9mm-mercury,Dekoni Audio,Price,1299,https://sanglogium.com/products/memory-foam-isolation-earphone-tips-black-4-9mm-mercury,1299
0IQ2UjkdXJma4iOcjodDq5,Memory Foam Isolation Earphone Tips Black 4.9mm Mercury,memory-foam-isolation-earphone-tips-black-4-9mm-mercury,Dekoni Audio,Brand,dekoni-audio,https://sanglogium.com/products/memory-foam-isolation-earphone-tips-black-4-9mm-mercury,dekoni-audio
